,name,cheatsheet_name,year,games_played,attempts
0,David Johnson,espn_2018.pdf,2021,13,67
1,David Johnson,espn_2018.pdf,2020,12,147
2,David Johnson,espn_2018.pdf,2019,13,94
3,David Johnson,espn_2018.pdf,2018,16,258
4,David Johnson,espn_2018.pdf,2017,1,11
5,David Johnson,espn_2018.pdf,2016,16,293
6,David Johnson,espn_2018.pdf,2015,16,125
7,Ezekiel Elliott,espn_2018.pdf,2021,17,237
8,Ezekiel Elliott,espn_2018.pdf,2020,15,244
9,Ezekiel Elliott,espn_2018.pdf,2019,16,301
10,Ezekiel Elliott,espn_2018.pdf,2018,15,304
11,Ezekiel Elliott,espn_2018.pdf,2017,10,242
12,Ezekiel Elliott,espn_2018.pdf,2016,15,322
13,Saquon Barkley,espn_2018.pdf,2021,13,162
14,Saquon Barkley,espn_2018.pdf,2020,2,19
15,Saquon Barkley,espn_2018.pdf,2019,13,217
16,Saquon Barkley,espn_2018.pdf,2018,16,261
17,Christian McCaffrey,espn_2019.pdf,2021,7,99
18,Christian McCaffrey,espn_2019.pdf,2020,3,59
19,Christian McCaffrey,espn_2019.pdf,2019,16,287
20,Christian McCaffrey,espn_2019.pdf,2018,16,219
21,Christian McCaffrey,espn_2019.pdf,2017,16,117
22,Alvin Kamara,espn_2019.pdf,2021,13,240
23,Alvin Kamara,espn_2019.pdf,2020,15,187
24,Alvin Kamara,espn_2019.pdf,2019,14,171
25,Alvin Kamara,espn_2019.pdf,2018,15,194
26,Alvin Kamara,espn_2019.pdf,2017,16,120
27,Dalvin Cook,espn_2020.pdf,2021,13,249
28,Dalvin Cook,espn_2020.pdf,2020,14,312
29,Dalvin Cook,espn_2020.pdf,2019,14,250
30,Dalvin Cook,espn_2020.pdf,2018,11,133
31,Dalvin Cook,espn_2020.pdf,2017,4,74
32,Derrick Henry,espn_2021.pdf,2021,8,219
33,Derrick Henry,espn_2021.pdf,2020,16,378
34,Derrick Henry,espn_2021.pdf,2019,15,303
35,Derrick Henry,espn_2021.pdf,2018,16,215
36,Derrick Henry,espn_2021.pdf,2017,16,176
37,Derrick Henry,espn_2021.pdf,2016,15,110
